,ColorPoint,ColorClass
0,[85.70817121 75.59727626 81.51167315  0.        ],0
1,[104.02742616  90.33544304  97.1371308    0.        ],0
2,[113.22365591 101.6        106.33763441   0.        ],0
3,[100.1496063   86.03740157  92.31692913   0.        ],0
4,[133.69387755 121.02857143 126.85306122   0.        ],0
5,[118.70981211 108.63465553 115.89770355   0.        ],0
6,[143.01894737 130.63578947 138.46736842   0.        ],0
7,[103.17773438  92.84765625  99.48632812   0.        ],0
8,[87.58969466 81.80343511 82.77671756  0.        ],0
9,[89.45572354 82.82937365 82.27429806  0.        ],0
10,[85.0018622  78.37616387 79.24581006  0.        ],0
11,[104.1037182   93.57925636  93.1409002    0.        ],0
12,[87.35429769 81.46121593 79.90566038  0.        ],0
13,[140.13562753 131.21659919 127.66194332   0.        ],0
14,[148.08251473 137.91159136 136.04911591   0.        ],0
15,[109.00391389 100.1369863   99.99608611   0.        ],0
16,[75.32894737 72.66541353 75.48120301  0.        ],0
17,[72.78269231 69.57307692 71.12692308  0.        ],0
18,[82.81273408 79.57116105 81.72284644  0.        ],0
19,[83.72826087 81.20108696 83.57971014  0.        ],0
20,[87.52504638 82.33395176 83.80890538  0.        ],0
21,[83.91391941 78.42490842 80.21978022  0.        ],0
22,[104.59649123  94.04093567  94.73099415   0.        ],0
23,[87.91409692 81.76431718 81.00220264  0.        ],0
24,[77.29575163 74.83660131 78.41013072  0.        ],0
25,[77.09013605 71.66666667 74.89795918  0.        ],0
26,[78.84770642 75.86605505 79.59266055  0.        ],0
27,[76.38560886 74.55166052 78.15498155  0.        ],0
28,[74.25708885 68.84877127 70.66162571  0.        ],0
29,[85.01449275 81.40942029 83.94021739  0.        ],0
30,[86.80898876 81.56741573 83.30149813  0.        ],0
31,[85.49442379 79.00557621 80.85687732  0.        ],0
32,[85.52772467 82.31166348 83.69407266  0.        ],0
33,[78.30756303 74.51932773 77.86722689  0.        ],0
34,[76.51428571 71.88739496 74.81344538  0.        ],0
35,[86.63686131 83.13138686 85.54014599  0.        ],0
36,[86.19074074 80.5537037  82.52962963  0.        ],0
37,[79.21350365 76.40145985 80.4689781   0.        ],0
38,[74.73992674 74.97435897 79.16117216  0.        ],0
39,[85.51619048 82.34095238 84.8152381   0.        ],0
40,[87.54142582 81.37186898 82.73988439  0.        ],0
41,[84.88413547 83.40285205 83.48128342  0.        ],0
42,[77.01526718 74.08206107 75.60114504  0.        ],0
43,[86.04918033 83.28961749 85.57741348  0.        ],0
44,[90.80451128 88.41353383 89.28759398  0.        ],0
45,[85.40148699 79.30111524 81.36245353  0.        ],0
46,[83.54527938 81.2177264  82.58959538  0.        ],0
47,[85.79699248 83.31954887 85.96428571  0.        ],0
48,[89.95530726 86.97765363 88.46741155  0.        ],0
49,[74.24137931 68.21724138 70.17413793  0.        ],0
50,[84.51544402 81.33204633 81.95173745  0.        ],0
51,[72.8721374  68.9980916  69.42938931  0.        ],0
52,[56.74108818 53.18011257 55.19324578  0.        ],0
53,[85.53182752 80.94045175 81.08829569  0.        ],0
54,[79.30641822 71.83850932 71.47619048  0.        ],0
55,[96.82268041 88.89072165 89.18556701  0.        ],0
56,[75.57954545 72.25189394 71.89393939  0.        ],0
57,[78.39748954 72.49790795 72.50209205  0.        ],0
58,[67.44246032 63.5952381  64.51785714  0.        ],0
59,[96.83162218 89.00410678 89.21149897  0.        ],0
60,[87.75685558 77.93418647 79.09872029  0.        ],0
61,[117.50574713 107.33141762 106.99808429   0.        ],0
62,[119.31730769 112.47307692 113.34230769   0.        ],0
63,[93.70753065 86.55341506 87.94395797  0.        ],0
64,[84.6746507  76.84830339 72.96407186  0.        ],0
65,[104.17573222  93.28451883  86.15899582   0.        ],0
66,[97.69471624 88.32289628 81.7221135   0.        ],0
67,[112.54989817 101.91649695  96.89205703   0.        ],0
68,[88.26873857 79.6416819  79.24497258  0.        ],0
69,[114.47851562 105.14257812 103.15820312   0.        ],0
70,[106.28627451 101.89803922 103.99215686   0.        ],0
71,[84.50850662 78.40075614 80.1758034   0.        ],0
72,[86.22522523 75.5009009  77.64144144  0.        ],0
73,[113.71899225 102.23062016 101.83914729   0.        ],0
74,[129.16089613 123.48268839 127.78207739   0.        ],0
75,[107.37873134  99.3880597  102.68097015   0.        ],0
76,[84.08896797 76.92170819 80.09964413  0.        ],0
77,[102.4245283   93.26415094  97.63584906   0.        ],0
78,[102.65039062  94.1953125   99.984375     0.        ],0
79,[96.2193159  89.36016097 96.43259557  0.        ],0
80,[117.52123552 107.74131274 109.03281853   0.        ],0
81,[101.83203125  91.4375      93.33007812   0.        ],0
82,[113.46379648 103.65166341 106.40508806   0.        ],0
83,[122.48051948 115.42857143 119.7606679    0.        ],0
84,[86.06032907 79.81170018 83.85923218  0.        ],0
85,[107.64627151  96.12619503 101.89101338   0.        ],0
86,[104.8011257   96.79924953 103.21763602   0.        ],0
87,[ 99.05510204  92.6244898  100.82244898   0.        ],0
88,[85.79086116 78.81898067 83.52372583  0.        ],0
89,[75.02079002 68.43035343 74.54677755  0.        ],0
90,[85.38049713 76.61759082 82.27533461  0.        ],0
91,[100.97029703  91.03366337  89.8950495    0.        ],0
92,[106.9184466   94.11650485  92.28543689   0.        ],0
93,[106.19793814  97.39793814 100.64948454   0.        ],0
94,[94.52523364 85.31962617 90.20934579  0.        ],0
95,[121.77456647 112.6300578  121.39884393   0.        ],0
96,[81.06941839 79.25703565 82.91932458  0.        ],0
97,[85.29582577 82.86388385 85.79491833  0.        ],0
98,[88.54761905 82.20039683 83.83730159  0.        ],0
99,[92.88284519 84.79916318 85.37238494  0.        ],0
100,[99.91775701 94.0317757  94.94205607  0.        ],0
101,[112.31124498 100.99196787 101.45983936   0.        ],0
102,[87.86564299 81.15738964 86.21113244  0.        ],0
103,[110.12151394 100.81673307 107.98605578   0.        ],0
104,[90.78198198 83.5981982  88.8972973   0.        ],0
105,[89.34136546 81.47188755 83.23293173  0.        ],0
106,[92.76538462 89.36730769 90.86538462  0.        ],0
107,[93.06237425 84.81287726 85.71428571  0.        ],0
108,[102.36802974  93.68773234  95.85130112   0.        ],0
109,[113.388 100.98  102.622   0.   ],0
110,[89.2969697  81.71717172 87.78181818  0.        ],0
111,[109.81081081 100.21621622 107.55405405   0.        ],0
112,[ 61.68372943 114.77879342 226.7166362    0.        ],2
113,[ 73.81172291 127.63765542 236.97690941   0.        ],2
114,[104.82518797 133.7481203  217.96616541   0.        ],2
115,[114.46285714 138.02095238 242.16         0.        ],2
116,[ 99.75276753 134.68081181 243.79151292   0.        ],2
117,[160.4980695  179.63899614 247.36679537   0.        ],2
118,[ 69.60347826 113.44347826 214.82086957   0.        ],2
119,[ 78.32851986 120.94404332 235.05234657   0.        ],2
120,[ 75.6        119.08073394 236.67706422   0.        ],2
121,[109.46       130.95636364 241.72545455   0.        ],2
122,[ 86.80157171 120.46365422 241.21807466   0.        ],2
123,[201.66603053 211.11068702 244.64503817   0.        ],2
124,[144.23076923 161.76398601 241.87062937   0.        ],2
125,[ 73.54203936 119.71198569 234.76565295   0.        ],2
126,[ 80.88247012 119.67729084 240.62350598   0.        ],2
127,[215.88201161 226.21663443 246.49709865   0.        ],2
128,[ 91.00389105 127.73735409 243.53891051   0.        ],2
129,[207.05440901 215.73733583 244.42026266   0.        ],2
130,[ 85.16727941 125.74448529 239.36948529   0.        ],2
131,[205.37524178 218.06576402 246.12959381   0.        ],2
132,[218.09881423 229.20750988 246.7687747    0.        ],2
133,[144.83204633 171.25096525 247.86679537   0.        ],2
134,[211.91570881 221.03831418 246.151341     0.        ],2
135,[ 96.72826087 125.16521739 223.31304348   0.        ],2
136,[142.67193676 168.61660079 248.74110672   0.        ],2
137,[151.14478764 170.67181467 239.14671815   0.        ],2
138,[ 82.94862385 120.13944954 231.79633028   0.        ],2
139,[193.96633663 209.03564356 246.07524752   0.        ],2
140,[ 95.9495614  125.16008772 224.09868421   0.        ],2
141,[153.24557522 176.06858407 249.02654867   0.        ],2
142,[194.32806324 209.61067194 245.33003953   0.        ],2
143,[ 93.03682171 124.95736434 231.46899225   0.        ],2
144,[149.26069246 172.98778004 248.80448065   0.        ],2
145,[171.65748031 188.06496063 245.5511811    0.        ],2
146,[226.27134725 230.76091082 244.89563567   0.        ],2
147,[ 98.24838013 129.74730022 245.55075594   0.        ],2
148,[223.82248521 227.45759369 246.58974359   0.        ],2
149,[105.34892788 124.82846004 237.88888889   0.        ],2
150,[176.83832335 188.46906188 247.70858283   0.        ],2
151,[214.84168337 216.82765531 242.94789579   0.        ],2
152,[242.28793774 242.10505837 248.47859922   0.        ],2
153,[122.67864693 138.19661734 249.70824524   0.        ],2
154,[214.29882812 223.8671875  247.46679688   0.        ],2
155,[ 97.14807692 128.08461538 246.78653846   0.        ],2
156,[172.27217742 192.54233871 249.52822581   0.        ],2
157,[192.94223108 205.55976096 245.74900398   0.        ],2
158,[236.43346008 238.31178707 248.14828897   0.        ],2
159,[105.8982684  135.80519481 251.74675325   0.        ],2
160,[106.16724138 132.15344828 233.21896552   0.        ],2
161,[ 76.61743772 115.01245552 234.74377224   0.        ],2
162,[ 97.28205128 127.39842209 238.71400394   0.        ],2
163,[ 77.78235294 119.00980392 244.58039216   0.        ],2
164,[ 72.09161793 112.2202729  238.68226121   0.        ],2
165,[ 62.04848485 111.26262626 244.08888889   0.        ],2
166,[ 53.57601351 109.9222973  233.28716216   0.        ],2
167,[ 77.1210084 119.8302521 233.0907563   0.       ],2
168,[ 70.31122449 116.42687075 238.54761905   0.        ],2
169,[123.84848485 147.98930481 242.86631016   0.        ],2
170,[226.09836066 225.70127505 241.82513661   0.        ],2
171,[134.45054945 146.95054945 242.52197802   0.        ],2
172,[ 80.90282686 124.90989399 234.91696113   0.        ],2
173,[ 56.38448276 110.42413793 235.33275862   0.        ],2
174,[ 41.54180064 105.45659164 233.49517685   0.        ],2
175,[ 94.05585586 131.01441441 242.14594595   0.        ],2
176,[ 67.26909091 115.60181818 242.19818182   0.        ],2
177,[ 70.90387858 120.87521079 240.5682968    0.        ],2
178,[ 70.2124183  116.15196078 230.05718954   0.        ],2
179,[ 66.86046512 115.81561462 231.26744186   0.        ],2
180,[ 57.34129693 113.38054608 233.82764505   0.        ],2
181,[ 88.2921147  126.27598566 241.46953405   0.        ],2
182,[ 82.25694444 121.44270833 225.11458333   0.        ],2
183,[ 73.78066914 116.45167286 230.17472119   0.        ],2
184,[ 54.14834206 110.76265271 236.4938918    0.        ],2
185,[ 83.90033223 128.86710963 242.04983389   0.        ],2
186,[ 73.21568627 118.68270945 240.96434938   0.        ],2
187,[ 93.44760213 133.35879218 243.31261101   0.        ],2
188,[101.67938931 130.58969466 239.79580153   0.        ],2
189,[224.62884615 224.00192308 244.53846154   0.        ],2
190,[ 90.73217391 127.55304348 243.66782609   0.        ],2
191,[131.65497076 149.00584795 244.54580897   0.        ],2
192,[231.83015267 231.55916031 245.3740458    0.        ],2
193,[130.22889306 144.30393996 235.81050657   0.        ],2
194,[137.08108108 150.82818533 238.97490347   0.        ],2
195,[124.25996205 142.89943074 246.83301708   0.        ],2
196,[ 67.11544715 113.58211382 225.30894309   0.        ],2
197,[ 68.40942029 119.49637681 241.82789855   0.        ],2
198,[ 83.9905482  122.38374291 240.18147448   0.        ],2
199,[147.25457875 161.25824176 245.2967033    0.        ],2
200,[104.85951941 131.02957486 243.56931608   0.        ],2
201,[138.38140417 158.67931689 244.91840607   0.        ],2
